"Plot Title: 21523214."
"#","Date Time, GMT+07:00","PAR, µmol/m²/s (LGR S/N: 21523214, SEN S/N: 21534670)","PAR, µmol/m²/s (LGR S/N: 21523214, SEN S/N: 21534671)","PAR, µmol/m²/s (LGR S/N: 21523214, SEN S/N: 21534672)","PAR, µmol/m²/s (LGR S/N: 21523214, SEN S/N: 21534673)"
258,07/10/26 04 นาฬิกา 44 นาที,-888.9,338.7,303.7,301.2
259,07/10/26 04 นาฬิกา 44 นาที,-888.9,341.2,311.2,303.7
260,07/10/26 04 นาฬิกา 44 นาที,-888.9,343.7,311.2,303.7
261,07/10/26 04 นาฬิกา 44 นาที,-888.9,338.7,308.7,301.2
262,07/10/26 04 นาฬิกา 45 นาที,-888.9,328.7,301.2,293.7
263,07/10/26 04 นาฬิกา 45 นาที,-888.9,318.7,293.7,283.7
264,07/10/26 04 นาฬิกา 45 นาที,-888.9,311.2,283.7,271.2
265,07/10/26 04 นาฬิกา 45 นาที,-888.9,296.2,273.7,258.7
266,07/10/26 04 นาฬิกา 45 นาที,-888.9,286.2,266.2,246.2
267,07/10/26 04 นาฬิกา 45 นาที,-888.9,276.2,261.2,238.7
268,07/10/26 04 นาฬิกา 46 นาที,-888.9,266.2,248.7,231.2
269,07/10/26 04 นาฬิกา 46 นาที,-888.9,263.7,246.2,231.2
270,07/10/26 04 นาฬิกา 46 นาที,-888.9,506.2,448.7,228.7
271,07/10/26 04 นาฬิกา 46 นาที,-888.9,488.7,468.7,231.2
272,07/10/26 04 นาฬิกา 46 นาที,-888.9,506.2,456.2,236.2
273,07/10/26 04 นาฬิกา 46 นาที,-888.9,503.7,466.2,238.7
274,07/10/26 04 นาฬิกา 47 นาที,-888.9,486.2,461.2,238.7
275,07/10/26 04 นาฬิกา 47 นาที,-888.9,508.7,471.2,243.7
276,07/10/26 04 นาฬิกา 47 นาที,-888.9,486.2,461.2,243.7
277,07/10/26 04 นาฬิกา 47 นาที,-888.9,481.2,461.2,238.7
278,07/10/26 04 นาฬิกา 47 นาที,-888.9,478.7,443.7,223.7
279,07/10/26 04 นาฬิกา 47 นาที,-888.9,471.2,446.2,208.7
280,07/10/26 04 นาฬิกา 48 นาที,-888.9,443.7,416.2,191.2
281,07/10/26 04 นาฬิกา 48 นาที,-888.9,423.7,411.2,171.2
282,07/10/26 04 นาฬิกา 48 นาที,-888.9,408.7,393.7,153.7
283,07/10/26 04 นาฬิกา 48 นาที,-888.9,408.7,386.2,146.2
284,07/10/26 04 นาฬิกา 48 นาที,-888.9,388.7,381.2,138.7
285,07/10/26 04 นาฬิกา 48 นาที,-888.9,376.2,376.2,131.2
286,07/10/26 04 นาฬิกา 49 นาที,-888.9,368.7,366.2,131.2
287,07/10/26 04 นาฬิกา 49 นาที,-888.9,381.2,368.7,126.2
288,07/10/26 04 นาฬิกา 49 นาที,-888.9,366.2,356.2,123.7
289,07/10/26 04 นาฬิกา 49 นาที,-888.9,351.2,341.2,116.2
290,07/10/26 04 นาฬิกา 49 นาที,-888.9,363.7,346.2,111.2
291,07/10/26 04 นาฬิกา 49 นาที,-888.9,343.7,328.7,103.7
292,07/10/26 04 นาฬิกา 50 นาที,-888.9,336.2,336.2,101.2
293,07/10/26 04 นาฬิกา 50 นาที,-888.9,341.2,328.7,93.7
294,07/10/26 04 นาฬิกา 50 นาที,-888.9,341.2,328.7,91.2
295,07/10/26 04 นาฬิกา 50 นาที,-888.9,333.7,318.7,88.7
296,07/10/26 04 นาฬิกา 50 นาที,-888.9,328.7,318.7,81.2
297,07/10/26 04 นาฬิกา 50 นาที,-888.9,326.2,296.2,76.2
298,07/10/26 04 นาฬิกา 51 นาที,-888.9,318.7,291.2,73.7
299,07/10/26 04 นาฬิกา 51 นาที,-888.9,306.2,298.7,68.7
300,07/10/26 04 นาฬิกา 51 นาที,-888.9,311.2,291.2,71.2
301,07/10/26 04 นาฬิกา 51 นาที,-888.9,308.7,291.2,66.2
302,07/10/26 04 นาฬิกา 51 นาที,-888.9,311.2,291.2,66.2
303,07/10/26 04 นาฬิกา 51 นาที,-888.9,311.2,296.2,63.7
304,07/10/26 04 นาฬิกา 52 นาที,-888.9,303.7,288.7,61.2
305,07/10/26 04 นาฬิกา 52 นาที,-888.9,296.2,291.2,63.7
306,07/10/26 04 นาฬิกา 52 นาที,-888.9,308.7,301.2,66.2
307,07/10/26 04 นาฬิกา 52 นาที,-888.9,311.2,301.2,68.7
308,07/10/26 04 นาฬิกา 52 นาที,-888.9,313.7,293.7,73.7
309,07/10/26 04 นาฬิกา 52 นาที,-888.9,311.2,293.7,76.2
310,07/10/26 04 นาฬิกา 53 นาที,-888.9,321.2,291.2,76.2
311,07/10/26 04 นาฬิกา 53 นาที,-888.9,306.2,288.7,76.2
312,07/10/26 04 นาฬิกา 53 นาที,-888.9,318.7,301.2,73.7
313,07/10/26 04 นาฬิกา 53 นาที,-888.9,318.7,288.7,73.7
314,07/10/26 04 นาฬิกา 53 นาที,-888.9,318.7,288.7,76.2
315,07/10/26 04 นาฬิกา 53 นาที,-888.9,318.7,308.7,78.7
316,07/10/26 04 นาฬิกา 54 นาที,-888.9,328.7,298.7,86.2
317,07/10/26 04 นาฬิกา 54 นาที,-888.9,326.2,301.2,91.2
318,07/10/26 04 นาฬิกา 54 นาที,-888.9,341.2,328.7,98.7
319,07/10/26 04 นาฬิกา 54 นาที,-888.9,346.2,328.7,106.2
320,07/10/26 04 นาฬิกา 54 นาที,-888.9,358.7,333.7,113.7
321,07/10/26 04 นาฬิกา 54 นาที,-888.9,348.7,333.7,116.2
322,07/10/26 04 นาฬิกา 55 นาที,-888.9,363.7,333.7,118.7
323,07/10/26 04 นาฬิกา 55 นาที,-888.9,363.7,348.7,113.7
324,07/10/26 04 นาฬิกา 55 นาที,-888.9,356.2,341.2,111.2
325,07/10/26 04 นาฬิกา 55 นาที,-888.9,366.2,343.7,113.7
326,07/10/26 04 นาฬิกา 55 นาที,-888.9,358.7,333.7,111.2
327,07/10/26 04 นาฬิกา 55 นาที,-888.9,348.7,346.2,113.7
328,07/10/26 04 นาฬิกา 56 นาที,-888.9,343.7,331.2,128.7
329,07/10/26 04 นาฬิกา 56 นาที,-888.9,351.2,336.2,113.7
330,07/10/26 04 นาฬิกา 56 นาที,-888.9,361.2,346.2,108.7
331,07/10/26 04 นาฬิกา 56 นาที,-888.9,351.2,331.2,108.7
332,07/10/26 04 นาฬิกา 56 นาที,-888.9,343.7,336.2,106.2
333,07/10/26 04 นาฬิกา 56 นาที,-888.9,346.2,336.2,108.7
334,07/10/26 04 นาฬิกา 57 นาที,-888.9,358.7,331.2,108.7
