"Plot Title: 21523214."
"#","Date Time, GMT+07:00","PAR, µmol/m²/s (LGR S/N: 21523214, SEN S/N: 21534670)","PAR, µmol/m²/s (LGR S/N: 21523214, SEN S/N: 21534671)","PAR, µmol/m²/s (LGR S/N: 21523214, SEN S/N: 21534672)","PAR, µmol/m²/s (LGR S/N: 21523214, SEN S/N: 21534673)"
24110,07/13/26 10 นาฬิกา 59 นาที,-888.9,-888.9,-888.9,-888.9
24111,07/13/26 10 นาฬิกา 59 นาที,-888.9,-888.9,-888.9,-888.9
24112,07/13/26 11 นาฬิกา 0 นาที,-888.9,-888.9,-888.9,-888.9
24113,07/13/26 11 นาฬิกา 0 นาที,-888.9,-888.9,-888.9,-888.9
24114,07/13/26 11 นาฬิกา 0 นาที,-888.9,-888.9,-888.9,-888.9
24115,07/13/26 11 นาฬิกา 0 นาที,-888.9,-888.9,-888.9,-888.9
24116,07/13/26 11 นาฬิกา 0 นาที,-888.9,-888.9,-888.9,-888.9
24117,07/13/26 11 นาฬิกา 0 นาที,-888.9,-888.9,-888.9,-888.9
24118,07/13/26 11 นาฬิกา 1 นาที,-888.9,-888.9,-888.9,-888.9
24119,07/13/26 11 นาฬิกา 1 นาที,-888.9,-888.9,-888.9,-888.9
24120,07/13/26 11 นาฬิกา 1 นาที,-888.9,-888.9,-888.9,-888.9
24121,07/13/26 11 นาฬิกา 1 นาที,-888.9,-888.9,-888.9,-888.9
24122,07/13/26 11 นาฬิกา 1 นาที,-888.9,-888.9,-888.9,-888.9
24123,07/13/26 11 นาฬิกา 1 นาที,-888.9,-888.9,-888.9,-888.9
24124,07/13/26 11 นาฬิกา 2 นาที,-888.9,-888.9,-888.9,-888.9
24125,07/13/26 11 นาฬิกา 2 นาที,-888.9,-888.9,-888.9,-888.9
24126,07/13/26 11 นาฬิกา 2 นาที,-888.9,-888.9,-888.9,-888.9
24127,07/13/26 11 นาฬิกา 2 นาที,-888.9,-888.9,-888.9,-888.9
24128,07/13/26 11 นาฬิกา 2 นาที,-888.9,-888.9,-888.9,-888.9
24129,07/13/26 11 นาฬิกา 2 นาที,-888.9,-888.9,-888.9,-888.9
24130,07/13/26 11 นาฬิกา 3 นาที,-888.9,-888.9,-888.9,-888.9
24131,07/13/26 11 นาฬิกา 3 นาที,-888.9,-888.9,-888.9,-888.9
24132,07/13/26 11 นาฬิกา 3 นาที,-888.9,-888.9,-888.9,-888.9
24133,07/13/26 11 นาฬิกา 3 นาที,-888.9,-888.9,-888.9,-888.9
24134,07/13/26 11 นาฬิกา 3 นาที,-888.9,-888.9,-888.9,-888.9
24135,07/13/26 11 นาฬิกา 3 นาที,-888.9,-888.9,-888.9,-888.9
24136,07/13/26 11 นาฬิกา 4 นาที,-888.9,-888.9,-888.9,-888.9
24137,07/13/26 11 นาฬิกา 4 นาที,-888.9,-888.9,-888.9,-888.9
24138,07/13/26 11 นาฬิกา 4 นาที,-888.9,-888.9,-888.9,-888.9
24139,07/13/26 11 นาฬิกา 4 นาที,-888.9,-888.9,-888.9,-888.9
24140,07/13/26 11 นาฬิกา 4 นาที,-888.9,-888.9,-888.9,-888.9
24141,07/13/26 11 นาฬิกา 4 นาที,-888.9,-888.9,-888.9,-888.9
24142,07/13/26 11 นาฬิกา 5 นาที,-888.9,-888.9,-888.9,-888.9
24143,07/13/26 11 นาฬิกา 5 นาที,-888.9,-888.9,-888.9,-888.9
24144,07/13/26 11 นาฬิกา 5 นาที,-888.9,-888.9,-888.9,-888.9
24145,07/13/26 11 นาฬิกา 5 นาที,-888.9,-888.9,-888.9,-888.9
24146,07/13/26 11 นาฬิกา 5 นาที,-888.9,-888.9,-888.9,-888.9
24147,07/13/26 11 นาฬิกา 5 นาที,-888.9,-888.9,-888.9,-888.9
24148,07/13/26 11 นาฬิกา 6 นาที,-888.9,-888.9,-888.9,-888.9
24149,07/13/26 11 นาฬิกา 6 นาที,-888.9,-888.9,-888.9,-888.9
24150,07/13/26 11 นาฬิกา 6 นาที,-888.9,-888.9,-888.9,-888.9
24151,07/13/26 11 นาฬิกา 6 นาที,-888.9,-888.9,-888.9,-888.9
24152,07/13/26 11 นาฬิกา 6 นาที,-888.9,-888.9,-888.9,-888.9
24153,07/13/26 11 นาฬิกา 6 นาที,-888.9,-888.9,-888.9,-888.9
24154,07/13/26 11 นาฬิกา 7 นาที,-888.9,-888.9,-888.9,-888.9
24155,07/13/26 11 นาฬิกา 7 นาที,-888.9,-888.9,-888.9,-888.9
24156,07/13/26 11 นาฬิกา 7 นาที,-888.9,-888.9,-888.9,-888.9
24157,07/13/26 11 นาฬิกา 7 นาที,-888.9,-888.9,-888.9,-888.9
24158,07/13/26 11 นาฬิกา 7 นาที,-888.9,-888.9,-888.9,-888.9
24159,07/13/26 11 นาฬิกา 7 นาที,-888.9,-888.9,-888.9,-888.9
24160,07/13/26 11 นาฬิกา 8 นาที,-888.9,-888.9,-888.9,-888.9
24161,07/13/26 11 นาฬิกา 8 นาที,-888.9,-888.9,-888.9,-888.9
24162,07/13/26 11 นาฬิกา 8 นาที,-888.9,-888.9,-888.9,-888.9
24163,07/13/26 11 นาฬิกา 8 นาที,-888.9,-888.9,-888.9,-888.9
24164,07/13/26 11 นาฬิกา 8 นาที,-888.9,-888.9,-888.9,-888.9
24165,07/13/26 11 นาฬิกา 8 นาที,-888.9,-888.9,-888.9,-888.9
24166,07/13/26 11 นาฬิกา 9 นาที,-888.9,-888.9,-888.9,-888.9
24167,07/13/26 11 นาฬิกา 9 นาที,-888.9,-888.9,-888.9,-888.9
24168,07/13/26 11 นาฬิกา 9 นาที,-888.9,-888.9,-888.9,-888.9
24169,07/13/26 11 นาฬิกา 9 นาที,-888.9,-888.9,-888.9,-888.9
24170,07/13/26 11 นาฬิกา 9 นาที,-888.9,-888.9,-888.9,-888.9
24171,07/13/26 11 นาฬิกา 9 นาที,-888.9,-888.9,-888.9,-888.9
24172,07/13/26 11 นาฬิกา 10 นาที,-888.9,-888.9,-888.9,-888.9
24173,07/13/26 11 นาฬิกา 10 นาที,-888.9,-888.9,-888.9,-888.9
24174,07/13/26 11 นาฬิกา 10 นาที,-888.9,-888.9,-888.9,-888.9
24175,07/13/26 11 นาฬิกา 10 นาที,-888.9,-888.9,-888.9,-888.9
24176,07/13/26 11 นาฬิกา 10 นาที,-888.9,-888.9,-888.9,-888.9
24177,07/13/26 11 นาฬิกา 10 นาที,-888.9,-888.9,-888.9,-888.9
24178,07/13/26 11 นาฬิกา 11 นาที,-888.9,-888.9,-888.9,-888.9
24179,07/13/26 11 นาฬิกา 11 นาที,-888.9,-888.9,-888.9,-888.9
24180,07/13/26 11 นาฬิกา 11 นาที,-888.9,-888.9,-888.9,-888.9
24181,07/13/26 11 นาฬิกา 11 นาที,-888.9,-888.9,-888.9,-888.9
24182,07/13/26 11 นาฬิกา 11 นาที,-888.9,-888.9,-888.9,-888.9
24183,07/13/26 11 นาฬิกา 11 นาที,-888.9,-888.9,-888.9,-888.9
24184,07/13/26 11 นาฬิกา 12 นาที,-888.9,-888.9,-888.9,-888.9
24185,07/13/26 11 นาฬิกา 12 นาที,-888.9,-888.9,-888.9,-888.9
24186,07/13/26 11 นาฬิกา 12 นาที,-888.9,-888.9,-888.9,-888.9
24187,07/13/26 11 นาฬิกา 12 นาที,-888.9,-888.9,-888.9,-888.9
24188,07/13/26 11 นาฬิกา 12 นาที,-888.9,-888.9,-888.9,-888.9
24189,07/13/26 11 นาฬิกา 12 นาที,-888.9,-888.9,-888.9,-888.9
24190,07/13/26 11 นาฬิกา 13 นาที,-888.9,-888.9,-888.9,-888.9
24191,07/13/26 11 นาฬิกา 13 นาที,-888.9,-888.9,-888.9,-888.9
24192,07/13/26 11 นาฬิกา 13 นาที,-888.9,-888.9,-888.9,-888.9
24193,07/13/26 11 นาฬิกา 13 นาที,-888.9,-888.9,-888.9,-888.9
24194,07/13/26 11 นาฬิกา 13 นาที,-888.9,-888.9,-888.9,-888.9
24195,07/13/26 11 นาฬิกา 13 นาที,-888.9,-888.9,-888.9,-888.9
24196,07/13/26 11 นาฬิกา 14 นาที,-888.9,-888.9,-888.9,-888.9
24197,07/13/26 11 นาฬิกา 14 นาที,-888.9,-888.9,-888.9,-888.9
24198,07/13/26 11 นาฬิกา 14 นาที,-888.9,-888.9,-888.9,-888.9
24199,07/13/26 11 นาฬิกา 14 นาที,-888.9,-888.9,-888.9,-888.9
24200,07/13/26 11 นาฬิกา 14 นาที,-888.9,-888.9,-888.9,-888.9
24201,07/13/26 11 นาฬิกา 14 นาที,-888.9,-888.9,-888.9,-888.9
24202,07/13/26 11 นาฬิกา 15 นาที,-888.9,-888.9,-888.9,-888.9
24203,07/13/26 11 นาฬิกา 15 นาที,-888.9,-888.9,-888.9,-888.9
24204,07/13/26 11 นาฬิกา 15 นาที,-888.9,-888.9,-888.9,-888.9
24205,07/13/26 11 นาฬิกา 15 นาที,-888.9,-888.9,-888.9,-888.9
24206,07/13/26 11 นาฬิกา 15 นาที,-888.9,-888.9,-888.9,-888.9
24207,07/13/26 11 นาฬิกา 15 นาที,-888.9,-888.9,-888.9,-888.9
24208,07/13/26 11 นาฬิกา 16 นาที,-888.9,-888.9,-888.9,-888.9
24209,07/13/26 11 นาฬิกา 16 นาที,-888.9,-888.9,-888.9,-888.9
24210,07/13/26 11 นาฬิกา 16 นาที,-888.9,-888.9,-888.9,-888.9
24211,07/13/26 11 นาฬิกา 16 นาที,-888.9,-888.9,-888.9,-888.9
24212,07/13/26 11 นาฬิกา 16 นาที,-888.9,-888.9,-888.9,-888.9
24213,07/13/26 11 นาฬิกา 16 นาที,-888.9,-888.9,-888.9,-888.9
24214,07/13/26 11 นาฬิกา 17 นาที,-888.9,-888.9,-888.9,-888.9
24215,07/13/26 11 นาฬิกา 17 นาที,-888.9,-888.9,-888.9,-888.9
24216,07/13/26 11 นาฬิกา 17 นาที,-888.9,-888.9,-888.9,-888.9
24217,07/13/26 11 นาฬิกา 17 นาที,-888.9,-888.9,-888.9,-888.9
24218,07/13/26 11 นาฬิกา 17 นาที,-888.9,-888.9,-888.9,-888.9
24219,07/13/26 11 นาฬิกา 17 นาที,-888.9,-888.9,-888.9,-888.9
24220,07/13/26 11 นาฬิกา 18 นาที,-888.9,-888.9,-888.9,-888.9
24221,07/13/26 11 นาฬิกา 18 นาที,-888.9,-888.9,-888.9,-888.9
24222,07/13/26 11 นาฬิกา 18 นาที,-888.9,-888.9,-888.9,-888.9
24223,07/13/26 11 นาฬิกา 18 นาที,-888.9,-888.9,-888.9,-888.9
24224,07/13/26 11 นาฬิกา 18 นาที,-888.9,-888.9,-888.9,-888.9
24225,07/13/26 11 นาฬิกา 18 นาที,-888.9,-888.9,-888.9,-888.9
24226,07/13/26 11 นาฬิกา 19 นาที,-888.9,-888.9,-888.9,-888.9
24227,07/13/26 11 นาฬิกา 19 นาที,-888.9,-888.9,-888.9,-888.9
24228,07/13/26 11 นาฬิกา 19 นาที,-888.9,-888.9,-888.9,-888.9
24229,07/13/26 11 นาฬิกา 19 นาที,-888.9,-888.9,-888.9,-888.9
24230,07/13/26 11 นาฬิกา 19 นาที,-888.9,-888.9,-888.9,-888.9
24231,07/13/26 11 นาฬิกา 19 นาที,-888.9,-888.9,-888.9,-888.9
24232,07/13/26 11 นาฬิกา 20 นาที,-888.9,-888.9,-888.9,-888.9
24233,07/13/26 11 นาฬิกา 20 นาที,-888.9,-888.9,-888.9,-888.9
24234,07/13/26 11 นาฬิกา 20 นาที,-888.9,-888.9,-888.9,-888.9
24235,07/13/26 11 นาฬิกา 20 นาที,-888.9,-888.9,-888.9,-888.9
24236,07/13/26 11 นาฬิกา 20 นาที,-888.9,-888.9,-888.9,-888.9
24237,07/13/26 11 นาฬิกา 20 นาที,-888.9,-888.9,-888.9,-888.9
24238,07/13/26 11 นาฬิกา 21 นาที,-888.9,-888.9,-888.9,-888.9
24239,07/13/26 11 นาฬิกา 21 นาที,-888.9,-888.9,-888.9,-888.9
24240,07/13/26 11 นาฬิกา 21 นาที,-888.9,-888.9,-888.9,-888.9
24241,07/13/26 11 นาฬิกา 21 นาที,-888.9,-888.9,-888.9,-888.9
24242,07/13/26 11 นาฬิกา 21 นาที,-888.9,-888.9,-888.9,-888.9
24243,07/13/26 11 นาฬิกา 21 นาที,-888.9,-888.9,-888.9,-888.9
24244,07/13/26 11 นาฬิกา 22 นาที,-888.9,-888.9,-888.9,-888.9
24245,07/13/26 11 นาฬิกา 22 นาที,-888.9,-888.9,-888.9,-888.9
24246,07/13/26 11 นาฬิกา 22 นาที,-888.9,-888.9,-888.9,-888.9
24247,07/13/26 11 นาฬิกา 22 นาที,-888.9,-888.9,-888.9,-888.9
24248,07/13/26 11 นาฬิกา 22 นาที,-888.9,-888.9,-888.9,-888.9
24249,07/13/26 11 นาฬิกา 22 นาที,-888.9,-888.9,-888.9,-888.9
24250,07/13/26 11 นาฬิกา 23 นาที,-888.9,-888.9,-888.9,-888.9
24251,07/13/26 11 นาฬิกา 23 นาที,-888.9,-888.9,-888.9,-888.9
24252,07/13/26 11 นาฬิกา 23 นาที,-888.9,-888.9,-888.9,-888.9
24253,07/13/26 11 นาฬิกา 23 นาที,-888.9,-888.9,-888.9,-888.9
24254,07/13/26 11 นาฬิกา 23 นาที,-888.9,-888.9,-888.9,-888.9
24255,07/13/26 11 นาฬิกา 23 นาที,-888.9,-888.9,-888.9,-888.9
24256,07/13/26 11 นาฬิกา 24 นาที,-888.9,-888.9,-888.9,-888.9
24257,07/13/26 11 นาฬิกา 24 นาที,-888.9,-888.9,-888.9,-888.9
24258,07/13/26 11 นาฬิกา 24 นาที,-888.9,-888.9,-888.9,-888.9
24259,07/13/26 11 นาฬิกา 24 นาที,-888.9,-888.9,-888.9,-888.9
24260,07/13/26 11 นาฬิกา 24 นาที,-888.9,-888.9,-888.9,-888.9
24261,07/13/26 11 นาฬิกา 24 นาที,-888.9,-888.9,-888.9,-888.9
24262,07/13/26 11 นาฬิกา 25 นาที,-888.9,-888.9,-888.9,-888.9
24263,07/13/26 11 นาฬิกา 25 นาที,-888.9,-888.9,-888.9,-888.9
24264,07/13/26 11 นาฬิกา 25 นาที,-888.9,-888.9,-888.9,-888.9
24265,07/13/26 11 นาฬิกา 25 นาที,-888.9,-888.9,-888.9,-888.9
24266,07/13/26 11 นาฬิกา 25 นาที,-888.9,-888.9,-888.9,-888.9
24267,07/13/26 11 นาฬิกา 25 นาที,-888.9,-888.9,-888.9,-888.9
24268,07/13/26 11 นาฬิกา 26 นาที,-888.9,-888.9,-888.9,-888.9
24269,07/13/26 11 นาฬิกา 26 นาที,-888.9,-888.9,-888.9,-888.9
24270,07/13/26 11 นาฬิกา 26 นาที,-888.9,-888.9,-888.9,-888.9
24271,07/13/26 11 นาฬิกา 26 นาที,-888.9,-888.9,-888.9,-888.9
24272,07/13/26 11 นาฬิกา 26 นาที,-888.9,-888.9,-888.9,-888.9
24273,07/13/26 11 นาฬิกา 26 นาที,-888.9,-888.9,-888.9,-888.9
24274,07/13/26 11 นาฬิกา 27 นาที,-888.9,-888.9,-888.9,-888.9
24275,07/13/26 11 นาฬิกา 27 นาที,-888.9,-888.9,-888.9,-888.9
24276,07/13/26 11 นาฬิกา 27 นาที,-888.9,-888.9,-888.9,-888.9
24277,07/13/26 11 นาฬิกา 27 นาที,-888.9,-888.9,-888.9,-888.9
24278,07/13/26 11 นาฬิกา 27 นาที,-888.9,-888.9,-888.9,-888.9
24279,07/13/26 11 นาฬิกา 27 นาที,-888.9,-888.9,-888.9,-888.9
24280,07/13/26 11 นาฬิกา 28 นาที,-888.9,-888.9,-888.9,-888.9
24281,07/13/26 11 นาฬิกา 28 นาที,-888.9,-888.9,-888.9,-888.9
24282,07/13/26 11 นาฬิกา 28 นาที,-888.9,-888.9,-888.9,-888.9
24283,07/13/26 11 นาฬิกา 28 นาที,-888.9,-888.9,-888.9,-888.9
24284,07/13/26 11 นาฬิกา 28 นาที,-888.9,-888.9,-888.9,-888.9
24285,07/13/26 11 นาฬิกา 28 นาที,-888.9,-888.9,-888.9,-888.9
24286,07/13/26 11 นาฬิกา 29 นาที,-888.9,-888.9,-888.9,-888.9
24287,07/13/26 11 นาฬิกา 29 นาที,-888.9,-888.9,-888.9,-888.9
24288,07/13/26 11 นาฬิกา 29 นาที,-888.9,-888.9,-888.9,-888.9
24289,07/13/26 11 นาฬิกา 29 นาที,-888.9,-888.9,-888.9,-888.9
24290,07/13/26 11 นาฬิกา 29 นาที,-888.9,-888.9,-888.9,-888.9
24291,07/13/26 11 นาฬิกา 29 นาที,-888.9,-888.9,-888.9,-888.9
24292,07/13/26 11 นาฬิกา 30 นาที,-888.9,-888.9,-888.9,-888.9
24293,07/13/26 11 นาฬิกา 30 นาที,-888.9,-888.9,-888.9,-888.9
24294,07/13/26 11 นาฬิกา 30 นาที,-888.9,-888.9,-888.9,-888.9
24295,07/13/26 11 นาฬิกา 30 นาที,-888.9,-888.9,-888.9,-888.9
24296,07/13/26 11 นาฬิกา 30 นาที,-888.9,-888.9,-888.9,-888.9
24297,07/13/26 11 นาฬิกา 30 นาที,-888.9,-888.9,-888.9,-888.9
24298,07/13/26 11 นาฬิกา 31 นาที,-888.9,-888.9,-888.9,-888.9
24299,07/13/26 11 นาฬิกา 31 นาที,-888.9,-888.9,-888.9,-888.9
24300,07/13/26 11 นาฬิกา 31 นาที,-888.9,-888.9,-888.9,-888.9
24301,07/13/26 11 นาฬิกา 31 นาที,-888.9,-888.9,-888.9,-888.9
24302,07/13/26 11 นาฬิกา 31 นาที,-888.9,-888.9,-888.9,-888.9
24303,07/13/26 11 นาฬิกา 31 นาที,-888.9,-888.9,-888.9,-888.9
24304,07/13/26 11 นาฬิกา 32 นาที,-888.9,-888.9,-888.9,-888.9
24305,07/13/26 11 นาฬิกา 32 นาที,-888.9,-888.9,-888.9,-888.9
24306,07/13/26 11 นาฬิกา 32 นาที,-888.9,-888.9,-888.9,-888.9
24307,07/13/26 11 นาฬิกา 32 นาที,-888.9,-888.9,-888.9,-888.9
24308,07/13/26 11 นาฬิกา 32 นาที,-888.9,-888.9,-888.9,-888.9
24309,07/13/26 11 นาฬิกา 32 นาที,-888.9,-888.9,-888.9,-888.9
24310,07/13/26 11 นาฬิกา 33 นาที,-888.9,-888.9,-888.9,-888.9
24311,07/13/26 11 นาฬิกา 33 นาที,-888.9,-888.9,-888.9,-888.9
24312,07/13/26 11 นาฬิกา 33 นาที,-888.9,-888.9,-888.9,-888.9
24313,07/13/26 11 นาฬิกา 33 นาที,-888.9,-888.9,-888.9,-888.9
24314,07/13/26 11 นาฬิกา 33 นาที,-888.9,-888.9,-888.9,-888.9
24315,07/13/26 11 นาฬิกา 33 นาที,-888.9,-888.9,-888.9,-888.9
24316,07/13/26 11 นาฬิกา 34 นาที,-888.9,-888.9,-888.9,-888.9
24317,07/13/26 11 นาฬิกา 34 นาที,-888.9,-888.9,-888.9,-888.9
24318,07/13/26 11 นาฬิกา 34 นาที,-888.9,-888.9,-888.9,-888.9
24319,07/13/26 11 นาฬิกา 34 นาที,-888.9,-888.9,-888.9,-888.9
24320,07/13/26 11 นาฬิกา 34 นาที,-888.9,-888.9,-888.9,-888.9
24321,07/13/26 11 นาฬิกา 34 นาที,-888.9,-888.9,-888.9,-888.9
24322,07/13/26 11 นาฬิกา 35 นาที,-888.9,-888.9,-888.9,-888.9
24323,07/13/26 11 นาฬิกา 35 นาที,-888.9,-888.9,-888.9,-888.9
24324,07/13/26 11 นาฬิกา 35 นาที,-888.9,-888.9,-888.9,-888.9
24325,07/13/26 11 นาฬิกา 35 นาที,-888.9,-888.9,-888.9,-888.9
24326,07/13/26 11 นาฬิกา 35 นาที,-888.9,-888.9,-888.9,-888.9
24327,07/13/26 11 นาฬิกา 35 นาที,-888.9,-888.9,-888.9,-888.9
24328,07/13/26 11 นาฬิกา 36 นาที,-888.9,-888.9,-888.9,-888.9
24329,07/13/26 11 นาฬิกา 36 นาที,-888.9,-888.9,-888.9,-888.9
24330,07/13/26 11 นาฬิกา 36 นาที,-888.9,-888.9,-888.9,-888.9
24331,07/13/26 11 นาฬิกา 36 นาที,-888.9,-888.9,-888.9,-888.9
24332,07/13/26 11 นาฬิกา 36 นาที,-888.9,-888.9,-888.9,-888.9
24333,07/13/26 11 นาฬิกา 36 นาที,-888.9,-888.9,-888.9,-888.9
24334,07/13/26 11 นาฬิกา 37 นาที,-888.9,-888.9,-888.9,-888.9
24335,07/13/26 11 นาฬิกา 37 นาที,-888.9,-888.9,-888.9,-888.9
24336,07/13/26 11 นาฬิกา 37 นาที,-888.9,-888.9,-888.9,-888.9
24337,07/13/26 11 นาฬิกา 37 นาที,-888.9,-888.9,-888.9,-888.9
24338,07/13/26 11 นาฬิกา 37 นาที,-888.9,-888.9,-888.9,-888.9
24339,07/13/26 11 นาฬิกา 37 นาที,-888.9,-888.9,-888.9,-888.9
24340,07/13/26 11 นาฬิกา 38 นาที,-888.9,-888.9,-888.9,-888.9
24341,07/13/26 11 นาฬิกา 38 นาที,-888.9,-888.9,-888.9,-888.9
24342,07/13/26 11 นาฬิกา 38 นาที,-888.9,-888.9,-888.9,-888.9
24343,07/13/26 11 นาฬิกา 38 นาที,-888.9,-888.9,-888.9,-888.9
24344,07/13/26 11 นาฬิกา 38 นาที,-888.9,-888.9,-888.9,-888.9
24345,07/13/26 11 นาฬิกา 38 นาที,-888.9,-888.9,-888.9,-888.9
24346,07/13/26 11 นาฬิกา 39 นาที,-888.9,-888.9,-888.9,-888.9
24347,07/13/26 11 นาฬิกา 39 นาที,-888.9,-888.9,-888.9,-888.9
24348,07/13/26 11 นาฬิกา 39 นาที,-888.9,-888.9,-888.9,-888.9
24349,07/13/26 11 นาฬิกา 39 นาที,-888.9,-888.9,-888.9,-888.9
24350,07/13/26 11 นาฬิกา 39 นาที,-888.9,-888.9,-888.9,-888.9
24351,07/13/26 11 นาฬิกา 39 นาที,-888.9,-888.9,-888.9,-888.9
24352,07/13/26 11 นาฬิกา 40 นาที,-888.9,-888.9,-888.9,-888.9
24353,07/13/26 11 นาฬิกา 40 นาที,-888.9,-888.9,-888.9,-888.9
24354,07/13/26 11 นาฬิกา 40 นาที,-888.9,-888.9,-888.9,-888.9
24355,07/13/26 11 นาฬิกา 40 นาที,-888.9,-888.9,-888.9,-888.9
24356,07/13/26 11 นาฬิกา 40 นาที,-888.9,-888.9,-888.9,-888.9
24357,07/13/26 11 นาฬิกา 40 นาที,-888.9,-888.9,-888.9,-888.9
24358,07/13/26 11 นาฬิกา 41 นาที,-888.9,-888.9,-888.9,-888.9
24359,07/13/26 11 นาฬิกา 41 นาที,-888.9,-888.9,-888.9,-888.9
24360,07/13/26 11 นาฬิกา 41 นาที,-888.9,-888.9,-888.9,-888.9
24361,07/13/26 11 นาฬิกา 41 นาที,-888.9,-888.9,-888.9,-888.9
24362,07/13/26 11 นาฬิกา 41 นาที,-888.9,-888.9,-888.9,-888.9
24363,07/13/26 11 นาฬิกา 41 นาที,-888.9,-888.9,-888.9,-888.9
24364,07/13/26 11 นาฬิกา 42 นาที,-888.9,-888.9,-888.9,-888.9
24365,07/13/26 11 นาฬิกา 42 นาที,-888.9,-888.9,-888.9,-888.9
24366,07/13/26 11 นาฬิกา 42 นาที,-888.9,-888.9,-888.9,-888.9
24367,07/13/26 11 นาฬิกา 42 นาที,-888.9,-888.9,-888.9,-888.9
24368,07/13/26 11 นาฬิกา 42 นาที,-888.9,-888.9,-888.9,-888.9
24369,07/13/26 11 นาฬิกา 42 นาที,-888.9,-888.9,-888.9,-888.9
24370,07/13/26 11 นาฬิกา 43 นาที,-888.9,-888.9,-888.9,-888.9
24371,07/13/26 11 นาฬิกา 43 นาที,-888.9,-888.9,-888.9,-888.9
24372,07/13/26 11 นาฬิกา 43 นาที,-888.9,-888.9,-888.9,-888.9
24373,07/13/26 11 นาฬิกา 43 นาที,-888.9,-888.9,-888.9,-888.9
24374,07/13/26 11 นาฬิกา 43 นาที,-888.9,-888.9,-888.9,-888.9
24375,07/13/26 11 นาฬิกา 43 นาที,-888.9,-888.9,-888.9,-888.9
24376,07/13/26 11 นาฬิกา 44 นาที,-888.9,-888.9,-888.9,-888.9
24377,07/13/26 11 นาฬิกา 44 นาที,-888.9,-888.9,-888.9,-888.9
24378,07/13/26 11 นาฬิกา 44 นาที,-888.9,-888.9,-888.9,-888.9
24379,07/13/26 11 นาฬิกา 44 นาที,-888.9,-888.9,-888.9,-888.9
24380,07/13/26 11 นาฬิกา 44 นาที,-888.9,-888.9,-888.9,-888.9
24381,07/13/26 11 นาฬิกา 44 นาที,-888.9,-888.9,-888.9,-888.9
24382,07/13/26 11 นาฬิกา 45 นาที,-888.9,-888.9,-888.9,-888.9
24383,07/13/26 11 นาฬิกา 45 นาที,-888.9,-888.9,-888.9,-888.9
24384,07/13/26 11 นาฬิกา 45 นาที,-888.9,-888.9,-888.9,-888.9
24385,07/13/26 11 นาฬิกา 45 นาที,-888.9,-888.9,-888.9,-888.9
24386,07/13/26 11 นาฬิกา 45 นาที,-888.9,-888.9,-888.9,-888.9
24387,07/13/26 11 นาฬิกา 45 นาที,-888.9,-888.9,-888.9,-888.9
24388,07/13/26 11 นาฬิกา 46 นาที,-888.9,-888.9,-888.9,-888.9
24389,07/13/26 11 นาฬิกา 46 นาที,-888.9,-888.9,-888.9,-888.9
24390,07/13/26 11 นาฬิกา 46 นาที,-888.9,-888.9,-888.9,-888.9
24391,07/13/26 11 นาฬิกา 46 นาที,-888.9,-888.9,-888.9,-888.9
24392,07/13/26 11 นาฬิกา 46 นาที,-888.9,-888.9,-888.9,-888.9
24393,07/13/26 11 นาฬิกา 46 นาที,-888.9,-888.9,-888.9,-888.9
24394,07/13/26 11 นาฬิกา 47 นาที,-888.9,-888.9,-888.9,-888.9
24395,07/13/26 11 นาฬิกา 47 นาที,-888.9,-888.9,-888.9,-888.9
24396,07/13/26 11 นาฬิกา 47 นาที,-888.9,-888.9,-888.9,-888.9
24397,07/13/26 11 นาฬิกา 47 นาที,-888.9,-888.9,-888.9,-888.9
24398,07/13/26 11 นาฬิกา 47 นาที,-888.9,-888.9,-888.9,-888.9
24399,07/13/26 11 นาฬิกา 47 นาที,-888.9,-888.9,-888.9,-888.9
24400,07/13/26 11 นาฬิกา 48 นาที,-888.9,-888.9,-888.9,-888.9
24401,07/13/26 11 นาฬิกา 48 นาที,-888.9,-888.9,-888.9,-888.9
24402,07/13/26 11 นาฬิกา 48 นาที,-888.9,-888.9,-888.9,-888.9
24403,07/13/26 11 นาฬิกา 48 นาที,-888.9,-888.9,-888.9,-888.9
24404,07/13/26 11 นาฬิกา 48 นาที,-888.9,-888.9,-888.9,-888.9
24405,07/13/26 11 นาฬิกา 48 นาที,-888.9,-888.9,-888.9,-888.9
24406,07/13/26 11 นาฬิกา 49 นาที,-888.9,-888.9,-888.9,-888.9
24407,07/13/26 11 นาฬิกา 49 นาที,-888.9,-888.9,-888.9,-888.9
24408,07/13/26 11 นาฬิกา 49 นาที,-888.9,-888.9,-888.9,-888.9
24409,07/13/26 11 นาฬิกา 49 นาที,-888.9,-888.9,-888.9,-888.9
24410,07/13/26 11 นาฬิกา 49 นาที,-888.9,-888.9,-888.9,-888.9
24411,07/13/26 11 นาฬิกา 49 นาที,-888.9,-888.9,-888.9,-888.9
24412,07/13/26 11 นาฬิกา 50 นาที,-888.9,-888.9,-888.9,-888.9
24413,07/13/26 11 นาฬิกา 50 นาที,-888.9,-888.9,-888.9,-888.9
24414,07/13/26 11 นาฬิกา 50 นาที,-888.9,-888.9,-888.9,-888.9
24415,07/13/26 11 นาฬิกา 50 นาที,-888.9,-888.9,-888.9,-888.9
24416,07/13/26 11 นาฬิกา 50 นาที,-888.9,-888.9,-888.9,-888.9
